"nrow","nlevels","successes","trials","mean","lower","upper"
159,5,38,200,0.19,0.13810312537284,0.251331518623744
160,7,38,200,0.19,0.13810312537284,0.251331518623744
160,9,38,200,0.19,0.13810312537284,0.251331518623744
160,11,38,200,0.19,0.13810312537284,0.251331518623744
160,13,38,200,0.19,0.13810312537284,0.251331518623744
160,15,38,200,0.19,0.13810312537284,0.251331518623744
160,18,38,200,0.19,0.13810312537284,0.251331518623744
160,20,38,200,0.19,0.13810312537284,0.251331518623744
