"Model","Sample_Size","Formula","term","estimate","std.error","statistic","p.value","conf.low","conf.high","Residual_SD","Cohens_d","Cohens_d_low","Cohens_d_high"
"Imputed_BESST_Post_IRI",57,"Imputed_BESST_Post_IRI ~ Imputed_BESST_Pre_IRI + Condition","(Intercept)",3.87965825619346,0.994987619909147,3.89920254138208,0.000273428593361403,1.88396582216983,5.87535069021709,2.63868229587991,1.47030139333228,0.713979786468228,2.22662300019634
"Imputed_BESST_Post_IRI",57,"Imputed_BESST_Post_IRI ~ Imputed_BESST_Pre_IRI + Condition","Imputed_BESST_Pre_IRI",0.466217139629243,0.105187545435408,4.43224659059595,4.71941201635336e-05,0.255237641614857,0.677196637643628,2.63868229587991,0.176685590515085,0.0967292053360841,0.256641975694087
"Imputed_BESST_Post_IRI",57,"Imputed_BESST_Post_IRI ~ Imputed_BESST_Pre_IRI + Condition","ConditionCBI, CICO, RF",1.47139269864023,0.798441601811838,1.84283070333675,0.0709495864416614,-0.130078346689048,3.07286374396951,2.63868229587991,0.557624046266462,-0.0492967065008753,1.1645447990338
"Imputed_BESST_Post_IRI",57,"Imputed_BESST_Post_IRI ~ Imputed_BESST_Pre_IRI + Condition","ConditionCBI, RF",-0.850040645221377,0.938785075659136,-0.905468852521489,0.369315015205759,-2.73300505118887,1.03292376074612,2.63868229587991,-0.322145885675077,-1.03574615839741,0.391454387047257
"Imputed_BFSs_Post_INT",57,"Imputed_BFSs_Post_INT ~ Imputed_BFSs_Pre_INT + Condition","(Intercept)",-0.327815296982118,1.45458254990036,-0.22536726912101,0.822560323835452,-3.24533842130402,2.58970782733978,5.02306889054357,-0.0652619552161157,-0.646086783204127,0.515562872771896
"Imputed_BFSs_Post_INT",57,"Imputed_BFSs_Post_INT ~ Imputed_BFSs_Pre_INT + Condition","Imputed_BFSs_Pre_INT",0.634813131440753,0.104584674483696,6.06984851819483,1.40141788563267e-07,0.425042839423456,0.844583423458049,5.02306889054357,0.126379539137091,0.084618158477508,0.168140919796673
"Imputed_BFSs_Post_INT",57,"Imputed_BFSs_Post_INT ~ Imputed_BFSs_Pre_INT + Condition","ConditionCBI, CICO, RF",1.14335723672337,1.52905466388042,0.747754324114072,0.457913436957742,-1.92353803197689,4.21025250542364,5.02306889054357,0.227621253388712,-0.382940802503853,0.838183309281276
"Imputed_BFSs_Post_INT",57,"Imputed_BFSs_Post_INT ~ Imputed_BFSs_Pre_INT + Condition","ConditionCBI, RF",3.31153169073645,1.78059122328987,1.85979333573147,0.0684686059583784,-0.259882024675361,6.88294540614826,5.02306889054357,0.659264637395426,-0.0517376986735371,1.37026697346439
"Imputed_YSR_Post_INT",57,"Imputed_YSR_Post_INT ~ Imputed_YSR_Pre_INT + Condition","(Intercept)",2.64073683653236,8.4072114006061,0.314103774807183,0.75467529225594,-14.2219937620241,19.5034674350888,10.1293319200753,0.260701974954408,-1.40404064890376,1.92544459881257
"Imputed_YSR_Post_INT",57,"Imputed_YSR_Post_INT ~ Imputed_YSR_Pre_INT + Condition","Imputed_YSR_Pre_INT",0.784176423697132,0.129241329201396,6.06753604704233,1.41336236025306e-07,0.524951145221875,1.04340170217239,10.1293319200753,0.0774164011886089,0.0518248537380313,0.103007948639187
"Imputed_YSR_Post_INT",57,"Imputed_YSR_Post_INT ~ Imputed_YSR_Pre_INT + Condition","ConditionCBI, CICO, RF",8.48633514481189,3.0575607615955,2.77552461144993,0.0075979633087308,2.35364489180067,14.6190253978231,10.1293319200753,0.837798110652573,0.232359341205513,1.44323688009963
"Imputed_YSR_Post_INT",57,"Imputed_YSR_Post_INT ~ Imputed_YSR_Pre_INT + Condition","ConditionCBI, RF",13.1620350922788,3.63788131936645,3.61804961096725,0.000662764237855788,5.86536920451785,20.4587009800397,10.1293319200753,1.29939814354321,0.579047981722594,2.01974830536382
